customer_unique_id,shap_historical_recency_days,shap_historical_order_count,shap_historical_revenue,shap_historical_item_count,shap_historical_unique_products,shap_historical_average_order_value,shap_historical_average_items_per_order,shap_historical_orders_per_active_day,predicted_future_revenue,future_revenue
0000366f3b9a7992bf8c76cfdf3221e2,0.014146758,-0.0015304298,-0.01864861,-0.0019621192,-0.0006039456,0.00022234835,0.0006992177,-0.0015733896,0.018341042,0.0
0000b849f77a49e4a4ce2b2a4ca5be3f,0.01710061,3.513304e-06,-0.036390353,-0.008403843,-0.0038382036,0.008209908,-0.0015411546,0.0057840385,0.008384497,0.0
0000f46a3911fa3c0805444483337064,-0.019805616,-0.0017853193,-0.0095076375,-0.0032009555,0.0007520242,-0.0012167048,-0.0010374807,0.0022534335,0.0,0.0
0000f6ccb0745a6a4b88665a16c9f078,-0.014330964,-0.00048710706,0.0069973655,-0.0031420053,-0.0004113421,-0.011046249,-0.0014987128,0.00058169075,0.0040960703,0.0
0004aac84e0df4da2b147fca70cf8255,-0.0052854675,-0.001574375,-0.006592598,-0.00048472258,-0.00083018234,-0.0014203116,-0.00018153727,0.0021539356,0.013297408,0.0
0004bd2a26a76fe21f786e4fbd80607f,0.009355754,-0.0021162492,-0.038790077,-0.00441383,-0.00043199488,0.026240515,0.000110014524,-0.00039928034,0.017124867,0.0
00050ab1314c0e55a6ca13cf7181fecf,0.06857834,-0.0019772805,-0.0011123283,-0.008578181,-0.00611666,-0.03923077,-0.0058872662,8.118206e-05,0.033738792,0.0
00053a61a98854899e70ed204dd4bafe,0.043109685,0.0004140076,-0.013144024,0.011774483,0.0047840457,0.011010304,-0.0045609786,-0.00023423908,0.08391377,0.0
0005e1862207bf6ccc02e4228effd9a0,-0.013960847,-0.0017278626,-0.028202003,-0.0010174088,0.0002602797,0.013522776,-0.00049207255,0.0010379415,0.0,0.0
0005ef4cd20d2893f0d9fbd94d3c0d97,0.0147622535,-0.0024243577,-0.014072784,-0.0003500673,0.0002490377,0.011142874,0.00037766842,-0.001046453,0.036721356,0.0
0006fdc98a402fceb4eb0ee528f6a8d4,0.03335037,-0.0007284646,0.018120466,-0.0041888077,-0.00015564618,0.043090343,-0.0029329413,0.0008792812,0.12171598,0.0
00082cbe03e478190aadbea78542e933,-0.006160174,-0.0016089188,-0.008693714,-0.0014231178,-0.00040811423,-0.0016502128,4.3546574e-05,0.0010341598,0.008595237,0.0
00090324bbad0e9342388303bb71ba0a,0.015267353,-0.0007073959,0.005357506,-0.003429926,0.00042119742,-0.018296931,-0.003629302,0.002563903,0.025285829,0.0
000949456b182f53c18b68d6babc79c1,0.027872987,-0.002117426,0.00047867332,-0.003876912,0.0008134718,0.025066428,-0.00085835526,0.0013290507,0.079106,0.0
000a5ad9c4601d2bbdd9ed765d5213b3,-0.009633841,-0.002003185,-0.0040421905,-0.0036496003,0.0005047362,-0.003164035,-0.0011737603,0.0022326142,0.006516904,0.0
000bfa1d2f1a41876493be685390d6d3,-0.0099419365,-0.0005572362,0.001473632,-0.0027162824,-0.00019784077,0.0053435764,-0.00091001356,0.00060620776,0.020737227,0.0
000c8bdb58a29e7115cfc257230fb21b,-0.010777901,-0.0006594089,0.022210088,-0.0034087258,-0.00020043287,0.018739842,-0.0012713332,0.0006762319,0.054148585,0.0
000d460961d6dbfa3ec6c9f5805769e1,-0.030151954,-0.0004928867,0.026082037,-0.0024662705,-0.00015485018,0.021324757,-0.00067626114,0.0006451124,0.042409398,0.0
000de6019bb59f34c099a907c151d855,-0.0042971266,-0.00037280482,-0.007497318,0.001990335,-0.002095996,-0.019190172,0.005901875,-0.00059302425,0.0012716239,0.0
000ed48ceeb6f4bf8ad021a10a3c7b43,0.019052725,0.0007851116,-0.07436385,-0.0063706837,-0.004481591,0.018471537,-0.0012180611,0.005185579,0.0,0.0
0010a452c6d13139e50b57f19f52e04e,0.0011027557,0.00039269312,0.0006926116,0.00014173929,-0.00020059492,-0.033457473,0.0007813068,0.002749313,0.0,0.0
0010fb34b966d44409382af9e8fd5b77,0.0040700906,-0.0006075403,-0.014973127,-0.0036613191,0.00043992786,-0.0030341423,-0.00083268905,0.0025264905,0.011417398,0.0
001147e649a7b1afd577e873841632dd,-0.0055661155,-0.0020399983,0.002796621,0.005998798,0.0002292396,-0.012154489,0.0056462325,-0.0003973511,0.022180397,0.0
00115fc7123b5310cf6d3a3aa932699e,0.01218965,-0.0016186436,-0.007576659,-0.0038175595,0.00061988516,-0.0063481927,-0.0115978075,0.0022670259,0.011609603,0.0
0011805441c0d1b68b48002f1d005526,0.002890401,5.820935e-05,-0.014725291,0.00062074076,0.00022630462,-0.010880428,-1.4837592e-05,0.002925203,0.008561799,0.0
0011857aff0e5871ce5eb429f21cdaf5,-0.016905487,-0.0015775952,0.0087547265,-0.0016637287,0.00025470278,0.0109518925,-0.0005875843,0.0014078075,0.028457142,0.0
0011c98589159d6149979563c504cb21,0.010692152,-0.0018688127,-0.0101032695,-0.0016862585,-0.00021085153,0.010011283,-0.0020173015,0.0023050422,0.035150707,0.0
0012929d977a8d7280bb277c1e5f589d,0.013919778,-0.0017296413,-0.010277925,-0.00081760285,-4.597511e-05,0.029392399,-0.0004891114,0.0011794114,0.060304716,0.0
0014a5a58da615f7b01a4f5e194bf5ea,-0.010100846,-0.0025259932,-0.012006853,-0.0024566231,0.0003941923,0.018380877,-7.765916e-05,0.0016917966,0.020940164,0.0
00191a9719ef48ebb5860b130347bf33,-0.016534211,-0.0006122272,0.005036261,-0.0038533336,0.0005413217,-0.010285656,-0.0010467082,0.0031440132,0.0038217935,0.0
001926cef41060fae572e2e7b30bd2a4,-0.01937664,-0.0021049872,0.004034036,0.009867111,-0.009464785,-0.021244505,0.010221377,0.001013115,0.00036983963,0.0
00196fdb2bf9edfc35e88ebfbcf8d781,-0.0027222245,-0.0012560656,-0.056550637,-0.015728591,-0.00063423556,0.048660442,-0.0015309688,0.0046302457,0.0022956063,0.0
0019da6aa6bcb27cc32f1249bd12da05,-0.006826664,-0.001969838,-0.004465987,-0.003232268,0.0006769685,0.0012530521,-0.0009908754,0.001997599,0.013963619,0.0
0019e8c501c85848ac0966d45226fa1d,0.031627335,-0.0016007303,-0.046456147,-0.005978774,-0.0015014006,0.0008922635,-0.0014775384,0.0005736232,0.0035097934,0.0
001a2bf0e46c684031af91fb2bce149d,-0.04044925,-0.0005804098,0.010977769,-0.0029338656,-0.00011241609,0.017872496,-0.00064342865,0.0007551355,0.012387152,0.0
001a3a8e11d76c9a366c31a4aa2cc529,0.07311819,0.002431428,-0.06301072,-0.0055229804,-0.0042310474,-0.03148879,-0.0004858559,0.004873574,0.0031136519,0.0
001ae44fa04911a9e9577356dce6c63c,-0.01154669,-0.0015749334,-0.0044637597,-0.002267432,-0.00017506428,0.032619905,-6.888814e-05,0.0029163405,0.043796446,0.0
001ae5a1788703d64536c30362503e49,-0.020346636,-0.0017726236,-0.0026594389,-0.0012829894,8.828227e-05,0.010760877,-4.9820123e-05,0.00022525854,0.0124650095,0.0
001f3c4211216384d5fe59b041ce1461,0.12108586,-0.00038211216,0.06362698,-0.00258541,-5.643089e-05,0.061648265,-0.0005254723,0.0007567597,0.31126663,0.0
002043098f10ba39a4600b6c52fbfe3c,-0.0046925945,8.41219e-05,0.0006375148,-0.0010564588,0.00039846406,-0.013460616,-0.00078595517,0.0028205991,0.01143501,0.0
0023557a94bef0038066b5d1b3dc763e,-0.0054957084,-0.0030041232,-0.020577196,-0.0024645044,6.3052e-05,0.018057732,-0.0015193099,0.001552379,0.01413635,0.0
0027324a96d26a2bc7d69262f83c8403,-0.0010693927,-0.0005580145,-0.0020564476,-0.003190195,-0.0006177646,-0.0048620338,-0.000886393,0.0002361963,0.014525481,0.0
0028a7d8db7b0247652509358ad8d755,-0.032993022,-0.0005837502,0.018192565,0.0028860243,-0.0057686917,0.036416996,0.0018592582,-0.0023068283,0.046161335,0.0
0028cfeb9dfcd3628a56d5b6400deef5,-0.014567447,-0.0018216887,-0.016321648,-0.0024319808,-7.609897e-05,0.017472925,-0.000491113,0.00070105435,0.009938092,0.0
