method,precision_at_k,recall_at_k,hit_rate_at_k,customers_evaluated
Popularity Baseline,0.0015021459227467812,0.01348747591522158,0.015021459227467811,466
Item-Item Collaborative Filtering,0.001072961373390558,0.009633911368015413,0.01072961373390558,466
